item_code;
1;Dada Ba (RICE)
2;Oman Ba
3;Mandela
4;Gold Star
5;Afife
6;Other local(specify
10;Jasmine Rice
11;Basmati Rice
12;Uncle Ben's Rice (imported)
13;Lele Rice
14;Royal Feast
15;Gino Rice
16;Royal Aroma
17;Heaven
18;Cindy
19;Bella
20;Sultana
21;Mama's Pride
22;Red Eagle
23;Other imported rice specify
27;Guinea corn/sorghum
28;White maize grains
29;Yellow maize grains
30;Millet
31;Millet flour
32;Takoradi Flour Mill
33;GMG
34;Wheat semolina,suji
35;Corn dough
36;Maize
37;Millet
38;Rice
39;Beans
40;Mixed fruit
41;Wheat
42;Other (specify)
47;Good Morning
48;Quaker oats
49;Other oats (specify)
53;Cassava - Kokonte
54;Cassava dough
55;Yellow gari
56;White gari
58;Sugar bread
59;Whole wheat bread
60;Butter bread
61;Tea bread
62;Other bread (specify)
67;Picadilly biscuit
68;Kings crackers
69;Malt and milk
70;Cream crackers
71;Short cake
72;Perks biscuit
73;Digestive biscuit
74;Jack and Jill
75;Wafers
76;Ginger
77;Short Bread
78;Other biscuits (specify)
83;Indomie or instant noodles
84;Cornflakes (Kellogg's)
85;Macaroni
86;Spaghetti
87;Maizena
88;Couscous
89;Other cereal products (specify)
95;Beef with bones
96;Beef without bones (steak)
97;Cow leg , local
98;Cow leg imported
99;Cow face (head)
100;Cow offals (towel)
101;Other cow/beef product (specify)
105;pork meat
106;pork, ribs
107;pork, shoulder
108;pork , fillet
109;Pork feet
110;Other pork meat (specify)
115;mutton mixed cut
116;Goat , live
117;Goat meat
118;Local breed
119;Poultry farm breed
120;whole chicken broiler
121;Chicken parts(thighs)
122;Chicken parts(wings)
123;Gizzard
124;chicken breast without skin
125;chicken breast with skin and bones
126;Other chicken product (specify)
127;Guinea fowl - live
131;Lele corned Beef
132;Exeter corned beef
133;Bella corned beef
134;Other corned beef (specify)
139;Beef sausage
140;Pork sausage
141;Chicken sausage
142;Bushmeat (Grasscutter)
143;Game birds
144;Other meat (dog, cat, etc.)
149;Kpala (Starvids)frozen
150;Shrimps
151;Snails
152;Crab
153;Fish smoked (river)
154;Fish smoked (sea)
155;Herrings -smoked
156;Salmon (smoked)
157;Fish (fried)
